"\N","Becker, PSR I Tf. I links","3 alte Aufnahmen","\N","PSR","1","\N","Grohmann/Khoury, CPA 90","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","\N","T","\N","|20,3|","\N","1999-12-27","\N","\N","\N","\N","Von der ersten Zeile ist teilweise nur die untere Hälfte erhalten, einige Löcher. Sonst ist das Stück sehr gut und vollständig erhalten. Es war ursprünglich zu einer Papyrusrolle gerollt, nicht gefaltet. Schriftrichtung Recto quer zur Faserrichtung.","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|38,6|","Qurra b. Šarīk mahnt Basileios (Basīl), Vorsteher von Ašqawh [Aphrodito] (ṣāḥib Ašqawh), er habe sich mit der Ablieferung Steuer (ǧizya) verspätet. Jetzt sei die Zeit für den Sold des Heeres und ihrer Familien (‘aṭā’ al-ǧund wa- ‘aṭā’ ‘iyālihim) und den Auszug der Heere (ḫurūǧ al-ǧuyūš). Der Adressat solle bei Ankunft des Briefes die auf dem Land befindliche Steuer (ǧizya) einsammeln und das eingesammelte jeweils ohne Verzögerung an den Absender weiterschicken, denn die Leute des Adressaten hätten die Saat (zirā‘) [die Ernte?] abgeschlossen. Es erscheint weiter der Anspruch des Kalifen (ḥaqq amīr al-mu’minīna). Wenn beim Absender Geld (māl) eingetroffen wäre, hätte er dem Heer (al-ǧund) schon ihren Lohn (‘aṭā’ahum) ausgezahlt. Der Adressate möge berichten, wieviel Steuern (ǧizya) er eingesammelt habe und wie er das gemacht habe. Schreiber ist ein Ǧarīr.
Verso Spuren arabischer Schrift.","710","710","\N","8","\N","\N","1","91","CD_A_001","CD_A_001","abgeschlossen","\N","\N","Becker, PSR I S. 7; 20; 24f.; 28; 30f.; 31 A. 2; 35 - 38; 42; Becker, PAF S. 93; van Berchem, page nouvelle S. 161; Grohmann, CPR III 1,1 S. 70 (zitiert als P. Heid. III, Taf. 1); Grohmann, APEL II S. 38 A. 1; Abbott, KPOI S. 46; Jahn, Briefwesen S. 163f.; 169; Cadell, nouveaux fragments S. 158; Simonsen, taxation system S. 85; Grohmann, FWAP S. 124 - 126 xxx [so Grohmann, Papyruskunde S. 75 A. 1; Institut]; Bell, P. Lond. IV S. 22 xxx [so Cadell, nouveaux fragments S. 158]; Wilcken, Chrestomathie 284 xxx [so Cadell, nouveaux fragments S. 158 ]","1","2","\N","Papyrus","\N","rab–‘I","1290 (Recto und Verso)","T","\N","1a","\N","Ermahnung zur Steuerablieferung","\N","+ Arab. 2","1","Arab.","\N","\N","Einige wenige diakritische Zeichen.","15. 10. 1975 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan-University  [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
Scan an 
Hr. Vanthieghem, April 2014
Herrn Stefan Sperl (London) Nov. 2012;
Herrn Abd el-Latif, Aug.2004
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","7","5","\N","\N","CD_A_001","\N","\N","\N","T","\N","\N","2016-03-10","\N","\N","\N"
"\N","Becker, PSR I Tf. I rechts","\N","\N","PSR","2","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","\N","T","\N","|20,2|","\N","1999-12-27","\N","\N","\N","\N","s. P. Heid. Inv. Arab. 1","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|43,5|","s. P. Heid. Inv. Arab. 1","710","710","\N","8","\N","\N","1","91","CD_A_001","CD_A_001","abgeschlossen","\N","\N","s. P. Heid. Inv. Arab. 1","1","2","\N","Papyrus","\N","Rab–‘I","589 b 1","T","\N","1b","\N","Ermahnung zur Steuerablieferung","\N","+ Arab. 1","2","Arab.","\N","\N","s. P. Heid. Inv. Arab. 1","Scan an
Herrn Abd el-Latif, Aug.2004
Papyrusentnahme für C-14 Untersuchung (April 2014)

15. 10. 1975 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan-University  [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","7","5","\N","\N","CD_A_001","\N","\N","\N","T","\N","\N","2014-04-08","\N","\N","\N"
"\N","Becker, PSR I Tf. III links","\N","\N","PSR","3","\N","Grohmann/Khoury, CPA 91","Tintenspuren","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","\N","T","\N","|21|","\N","1999-12-13","\N","\N","\N","\N","Am Anfang fehlen die ersten zwei Zeilen. Der linke Rand ist teilweise sägezahnartig eingerissen, mehrere Löcher, beides führt zu Buchstabenverlust. Sonst ist das Stück sehr gut erhalten und vollständig. Das Stück war ursprünglich zu einer Papyrusrolle gerollt, nicht gefaltet. Schriftrichtung Recto quer zur Faserrichtung.","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|55,8|","Der Absender, Qurra b. Šarīk erinnert den Adressaten, Basileios (Basīl), Vorsteher von Ašqaw [Aphrodito] (ṣāḥib Ašqawh) an einen früheren Brief des Absenders, die Sammlung des Getreides für den Staatsspeicher (ḥaml ṭa‘ām l-hury) und seine Messung (kaylihi) beschleunigt durchzuführen, keine einzige Artabe (irdabb) verzögert abzugeben. Der Absender habe schon befohlen, das Heer (al-ǧund) ihren Lebensunterhalt (bi-irzāqihim) zu geben. Die Ernte sei dieses Jahr gut, ein etwaiges Manko müsse also auf den [jeweiligen] Beamten (‘āmil) zurückgehen. Der Absender gibt genaue Anweisungen zur Steuereintreibung. Jedes Dorf soll aus seiner Mitte einen Steuereinnehmer (qabbāl Plural qabbālīn) wählen, der jeweils 5 Artaben von 100 Artaben als Lohn bekommt, eventuell fehlendes aber ausgleichen muss. Dieser Steuereintreiber liefert das Getreide (ṭa‘ām) an den [jeweiligen] Vorsteher des Staatsspeichers (ṣāḥib al-ahrā’, Plural aṣḥāb al-ahrā’) ab. Der Steuereinnehmer soll das Getreide mit dem rechtem Mass (al-kayl al-‘adl) messen, nicht mit dem dēmosion-Mass (kayl ad-dīmūs). Er soll dabei ein qanqal verwenden. Der Vorsteher des Staatsspeichers soll mit einem eigenen rechten qanqal (qanqal ‘adl) nachmessen. Der Absender ermahnt den Adressaten mehrmals, dafür zu sorgen, dass die Bauern nicht bedrückt werden. Wenn ein Steuereintreiber die Bauern bedrückt, solle ihm der Adressat 100 Peitschenhieben geben, Haupt- und Barthaar scheren, 30 dīnār Busse auferlegen und die zuviel eingetrieben Steuer abnehmen. Für dieses strenge Vorgehen sei der Adressat verantwortlich. Er möge seine Beamten (‘ammāl) von der Bedrückung des Landvolkes abhalten. Die Bauern sollen in die Staatsspeicher nur gutes Getreide (ṭa‘ām ṭayyib) abliefern, die Vorsteher der Staatsspeicher nur solches annehmen. Schreiber ist aṣ-Ṣalt.","710","710","\N","8","\N","\N","1","91","CD_A_004","CD_A_004","abgeschlossen","<0","\N","Becker, PSR I S. 20; 24 - 28; 30-32; 34 - 37; 45; 66f. A. zu Zeile 39; 67 A. zu Zeile 43; 82 A. zu Zeile 4; 91 zu Zeile 6; Becker, PAF S. 93; van Berchem, page nouvelle S. 161; Grohmann, CPR III 1,1 S. 70 (zitiert als P. Heid. III, Taf. 3 - 5); Jahn, Briefwesen S. 163f.; Grohmann, Einführung S. 90; 160; Grohmann, Papyruskunde S. 99 ('P. Heid. III S. 31'); Hopkins, Early Arabic 39 A.7; 56; Diem, ABPP S. 44; Grohmann/Khoury, CPA S. 11 ('de telles lettres ... dont la plus longue a été ajoutée aussi à notre 'Chrestomathie' ')","8","8","\N","Papyrus","\N","˝aww$l","589 c 1 + 2; 590,1","T","\N","3a","\N","Ermahnung zur Getreidelieferung mit einzelnen Anweisungen","\N","+ Arab. 4 + Arab. 5 + Arab. 6 + Arab. 7","3","Arab.","\N","\N","Einzelne diakritische Punkte. Am Ende des Textes (P. Heid. Inv. Arab. 7) ein Siegel.Unter der letzten Zeile findet sich ein Siegel. ","7. 7. 1976 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
Scan an
Herrn Abd el-Latif, Aug.2004
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","2","30","\N","\N","CD_A_004","\N","\N","\N","T","\N","\N","2014-03-12","\N","\N","\N"
"\N","Becker, PSR I Tf. III rechts","\N","\N","PSR","4","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","s. Heid. Inv. Arab. 3","T","\N","|20,6|","\N","1999-12-13","\N","\N","\N","\N","s. Heid. Inv. Arab. 3","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|54,9|","s. Heid. Inv. Arab. 3","710","710","\N","8","\N","\N","1","91","CD_A_004","CD_A_004","abgeschlossen","\N","\N","s. Heid. Inv. Arab. 3","8","8","\N","Papyrus","\N","˝aww$l","590,2; 591 a 1 + 2","T","\N","3b","\N","Ermahnung zur Getreidelieferung mit einzelnen Anweisungen","\N","+ Arab. 3 + Arab. 5 + Arab. 6 + Arab. 7","4","Arab.","\N","\N","s. Heid. Inv. Arab. 3","7. 7. 1976 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
Scan an
Herrn Abd el-Latif, Aug.2004
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","2","30","\N","\N","CD_A_004","\N","\N","\N","T","\N","\N","2014-03-12","\N","\N","\N"
"\N","Becker, PSR I Tf. IV rechts","\N","\N","PSR","6","\N","f","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","s. Heid. Inv. Arab. 3","T","\N","|21|","\N","1999-12-13","\N","\N","\N","\N","s. Heid. Inv. Arab. 3","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|29,6|","s. Heid. Inv. Arab. 3","710","710","\N","8","\N","\N","1","91","CD_A_004","CD_A_004","abgeschlossen","\N","\N","s. Heid. Inv. Arab. 3","8","8","\N","Papyrus","\N","˝aww$l","590,4","T","\N","3d","\N","Ermahnung zur Getreidelieferung mit einzelnen Anweisungen","\N","+ Arab. 3 + Arab. 4 + Arab. 5 + Arab. 7","6","Arab.","\N","\N","s. Heid. Inv. Arab. 3","7. 7. 1976 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
Scan an
Herrn Abd el-Latif, Aug.2004
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","2","30","\N","\N","CD_A_004","\N","\N","\N","T","\N","\N","2014-03-12","\N","\N","\N"
"\N","Becker, PSR I Tf. IV links","\N","\N","PSR","5","\N","\N","Tintenspuren","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","s. Heid. Inv. Arab. 3","T","\N","|20,5|","\N","1999-12-13","\N","\N","\N","\N","s. Heid. Inv. Arab. 3","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|42,5|","s. Heid. Inv. Arab. 3","710","710","\N","8","\N","\N","1","91","CD_A_004","CD_A_004","abgeschlossen","\N","\N","s. Heid. Inv. Arab. 3","8","8","\N","Papyrus","\N","˝aww$l","1190,4","T","\N","3c","\N","Ermahnung zur Getreidelieferung mit einzelnen Anweisungen","\N","+ Arab. 3 + Arab. 4 + Arab. 6 + Arab. 7","7","Arab.","\N","\N","s. Heid. Inv. Arab. 3","7. 7. 1976 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
Scan an
Herrn Abd el-Latif, Aug.2004
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","2","30","\N","\N","CD_A_004","\N","\N","\N","T","\N","\N","2014-03-12","\N","\N","\N"
"\N","Becker, PSR I Tf. V links","\N","\N","PSR","7","\N","\N","Verso frei vermutlich","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","Das Stück liegt  auf einer weissen Unterlage, so daß Verso nicht sichtbar ist.
Am unteren Rand befindet sich ein Siegel.","T","\N","|20,5|","\N","1999-12-13","\N","\N","\N","\N","s. Heid. Inv. Arab. 3","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|51,6|","s. Heid. Inv. Arab. 3","710","710","\N","8","\N","\N","1","91","CD_A_004","CD_A_004","abgeschlossen","\N","\N","s. Heid. Inv. Arab. 3","8","8","\N","Papyrus","\N","˝aww$l","591 c 1 + 2; 592,1","T","\N","3e","\N","Ermahnung zur Getreidelieferung mit einzelnen Anweisungen","\N","+ Arab. 3 + Arab. 4 + Arab. 5 + Arab. 6","7","Arab.","\N","\N","s. Heid. Inv. Arab. 3. Das Stück hat am Ende des Textes ein Siegel.","7. 7. 1976 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
Scan an
Herrn Abd el-Latif, Aug.2004
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","2","30","\N","\N","CD_A_004","\N","\N","\N","T","\N","\N","2014-03-12","\N","\N","\N"
"\N","Becker, PSR I Tf. II links (Recto)","\N","\N","PSR","8","\N","\N","\N","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","Die beiden Stücke von P. Heid. Inv. 8 sind 12.5 und 33.0 cm hoch. Wieviel zwischen ihnen fehlt, ist nicht genau zu bestimmen, geht man von regelmässigem Zeilenabstand aus, kommt man auf eine Höhe beider Stücke von mindestens 46.5 cm. Wir haben damit eine Gesamthöhe des Papyrus von mindestens 97.0 cm. Becker, PSR I S. 102 vermutet, dass P. Heid. Inv. Arab. 8 und P. Heid. Inv. Arab. 10i eventuell zusammengehören.","T","\N","|20,4|","\N","1999-12-13","\N","\N","\N","\N","Becker hat P. Heid. Inv. 8 aus sehr vielen Stücken zu zwei Stücken mit lacuna unbekannter Länge, P. Heid. Inv. 9 zu einem Stück zusammengesetzt; Anfang und Schluss des Schreibens sind erhalten, zusätzlich zu lacuna zwischen den beiden Stücken bleiben mehrere Löcher. Das Stück war ursprünglich zu einer Papyrusrolle gerollt, nicht gefaltet. Schriftrichtung Recto quer zur Faserrichtung. Beim Übergang von Recto zur Adresse auf Verso hat der Schreiber das Stück in der Querrichtung gedreht, sodass der Anfang von Recto dem Anfang der Adresse auf Verso entspricht.","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|46,6|","Auf Recto gibt Qurra b. Šarīk dem Basileios (Basīl), Vorsteher von Ašqaw [Aphrodito] (ṣāḥib Ašqawh) Anweisungen in Bezug auf die Händler (tāǧir pl. tuǧǧār), die ihr Getreide (ṭa‘ām pl. aṭ‘ima) nicht verkaufen. Der Adressat solle den Händlern, die in seinem Gebiet Getreide aufkaufen und sammeln, befehlen es zu verkaufen. Dabei solle er jedem Händler befehlen, die eine Hälfte seiner Vorräte in al-Fusṭāṭ zu verkaufen, dort sei Getreide leicht verkaeuflich. Der Adressat solle dem Absender über jeden Händler schreiben, der so nach al-Fusṭāṭ komme. Der Absender habe seinerseits den Beamten für den Zoll (ṣāḥib al-maks) schon angewiesen, von diesen Getreidetransporten Kenntnis zu nehmen. Die andere Hälfte sollten die Händler auf dem Land zuerst den Bauern anbieten, sonst ebenfalls nach al-Fusṭāṭ bringen. Der Adressat möge einen Verantwortlichen einsetzen. Auch der Absender habe alle Beamten (‘ummāl) dementsprechend angewiesen. Schreiber ist ‘Abd Allāh b. Nu‘mān. 
Auf Verso findet sich auf arabisch die Adresse und eine kurze Inhaltsangabe, auf griechisch wohl ein Registervermerk.","710","710","\N","8","\N","\N","1","91","CD_A_002; CD_A_004","CD_A_002; CD_A_004","abgeschlossen","\N","\N","Becker, PSR I S. 20; 24f.; 28; 30; 31 A. 2; 34 - 36; 43; 51-56; 99; van Berchem, nouvelle page S. 164; Grohmann, CPR III 1,1 S. 70 (zitiert als P. Heid. III, Taf. 2); Jahn, Briefwesen S. 163f.; Grohmann, Einführung S. 90; 121; Hopkins, Early Arabic 39 A. 9; Simonsen, taxation system S. 107 (ohne Angabe der Inventarnr.); Diem, ABPP S. 43","1","2","\N","Papyrus","\N","Rab–‘I","592,2; 593 a 1+ 2; b 1 (Recto und Verso)","T","\N","2a","\N","Anweisungen in Bezug auf die Getreidehändler","\N","+ Arab. 9","8","Arab.","\N","\N","Einige diakritische Punkte. ","7. 7. 1976 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
Scan an
Hr. Vanthieghem, April 2014
Herrn Abd el-Latif, Aug.2004
","\N","\N","Becker, PSR I","\N","Recto u. Verso","\N","\N","Arabisch, Griechisch","Publiziert","7","5","\N","\N","CD_A_002; CD_A_004","\N","\N","\N","T","\N","\N","2014-04-01","\N","(Einerzahl des Hiǧra-Jahres ergänzt)","\N"
"\N","Becker, PSR I Tf. II rechts","\N","\N","PSR","9","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","s. P. Heid. Inv. Arab. 8","T","\N","|20,5|","\N","1999-12-13","\N","\N","\N","\N","\N","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|50,5|","s. P. Heid. Inv. Arab. 8","710","710","\N","8","\N","\N","1","91","CD_A_008","CD_A_008","abgeschlossen","\N","\N","s. P. Heid. Inv. Arab. 8","1","2","\N","Papyrus","\N","rab–‘I","592,3 + 4; 593 c 1+ 2","T","\N","2b","\N","Anweisungen in Bezug auf die Getreidehändler","\N","+ Arab. 8","9","Arab.","\N","\N","\N","Scan an
Herrn Abd el-Latif, Aug.2004
Papyrusentnahme für C-14 Untersuchung (April 2014)

7. 7. 1976 Dr. Bakhit, Amman
4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]
1. 8. 1980 Prof. Khoury, Heidelberg
","\N","\N","Becker, PSR I","\N","Recto","\N","\N","Arabisch","Publiziert","7","5","\N","\N","CD_A_008","\N","\N","\N","T","\N","\N","2014-04-08","\N","(Einerzahl des Hiǧra-Jahres ergänzt)","\N"
"\N","Becker, PSR I Tf. IX.2","594 a 1 + 2","a","PSR","10","\N","Becker, PSR I 12a; Becker, PAF 14a","\N","Dokumentarisch","dokumentarisch","\N","\N","F","\N","\N","Becker, PSR I S. 96f. vermutet, dass P. Heid. Inv. Arab. 10a und P. Heid. Inv. Arab. 10b zum selben Schreiben gehören; dies wird von Grohmann, APEL III S. 23 bestritten. Becker, NPAF S. 257 verbindet die beiden Stücke mit Moritz, Arabic palaeography 105; dies wird von Grohmann, APEL III S. 23; Grohmann, Einführung S. 47 A.1; Grohmann, Papyruskunde S. 75 A. 1 bestritten.","T","\N","|15,5|","\N","2000-02-15","\N","\N","\N","\N","Fragment eines Briefanfangs. Schriftrichtung quer zur Faserrichtung.","\N","\N","1904","\N","Geschenk Schott","T","\N","\N","\N","|6,4|","Auf Recto der Anfang eines Briefes von Qurra b. Šarīk an den Vorsteher von Aphrodito (ṣāḥib Ašqawh), vermutlich Basileios / Basīl. Auf Verso die Adresse und die kurze Inhaltsangabe, dass es sich um die landflüchtigen Kolonen (ǧāliya) des Hišām b. ‘Umar handelt, und Spuren eines griechischen Registervermerks.","709","714","96","8","\N","\N","1","90","CD_A_002; CD_A_003","CD_A_002; CD_A_003","abgeschlossen","\N","\N","Becker, PSR I S. 25; 40; 62 A. zu Zeile 3*; 100; van Berchem, page nouvelle S. 167f.; Jahn, Briefwesen S. 163f.; Grohmann, APEL III S. 23; Dietrich, Drogenhandel S. 1 A. 2; Grohmann, Einführung S. 47 A.1; 121; Grohmann, Papyruskunde S. 75 A. 1; Cadell, nouveaux fragments S. 118; Diem, Aphrodito-Papyri S. 265","\N","\N","\N","Papyrus","\N","\N","951 d 3 + 4 (Recto und Verso)","T","\N","5a","\N","Anfang eines Briefes","\N","\N","10","Arab.","a","\N","Einige diakritische Zeichen.","Scan an:
Hr. Vanthieghem, April 2014


15. 10 1975 Dr. Bakhit, Amman
1. 8. 1980 Prof. Khoury, Heidelberg","\N","\N","Becker, NPAF ","\N","Recto u. Verso","\N","\N","Arabisch","Publiziert","\N","\N","\N","\N","CD_A_002; CD_A_003","\N","\N","\N","T","\N","\N","2014-04-01","\N","(Qurra b. Šarīk als Statthalter und Finanzlandesdirektor)","\N"
