	Becker, PSR I Tf. I links	3 alte Aufnahmen		PSR	1		Grohmann/Khoury, CPA 90	Verso frei	Dokumentarisch	dokumentarisch						Scan an Herrn Stefan Sperl (London) Nov. 2012;	X		20,3			7. Jan. 710	5. Febr. 710	710; 7. Jan. 	710; 7. Jan. 	 7. Jan. 710 - 5. Febr. 710 	 710; 7. Jan.  - 5. Febr. 710 		27.12.1999					Von der ersten Zeile ist teilweise nur die untere Hälfte erhalten, einige Löcher. Sonst ist das Stück sehr gut und vollständig erhalten. Es war ursprünglich zu einer Papyrusrolle gerollt, nicht gefaltet. Schriftrichtung Recto quer zur Faserrichtung.			1904		Geschenk Schott	x			38,6	Qurra b. Šarīk mahnt Basileios (Basīl), Vorsteher von Ašqawh [Aphrodito] (ṣāḥib Ašqawh), er habe sich mit der Ablieferung Steuer (ǧizya) verspätet. Jetzt sei die Zeit für den Sold des Heeres und ihrer Familien (‘aṭā’ al-ǧund wa- ‘aṭā’ ‘iyālihim) und den Auszug der Heere (ḫurūǧ al-ǧuyūš). Der Adressat solle bei Ankunft des Briefes die auf dem Land befindliche Steuer (ǧizya) einsammeln und das eingesammelte jeweils ohne Verzögerung an den Absender weiterschicken, denn die Leute des Adressaten hätten die Saat (zirā‘) [die Ernte?] abgeschlossen. Es erscheint weiter der Anspruch des Kalifen (ḥaqq amīr al-mu’minīna). Wenn beim Absender Geld (māl) eingetroffen wäre, hätte er dem Heer (al-ǧund) schon ihren Lohn (‘aṭā’ahum) ausgezahlt. Der Adressate möge berichten, wieviel Steuern (ǧizya) er eingesammelt habe und wie er das gemacht habe. Schreiber ist ein Ǧarīr.Verso Spuren arabischer Schrift.	710	710		8			VIII		VIII	1	91	CD_A_001	CD_A_001	abgeschlossen		Becker, PSR I S. 7; 20; 24f.; 28; 30f.; 31 A. 2; 35 - 38; 42; Becker, PAF S. 93; van Berchem, page nouvelle S. 161; Grohmann, CPR III 1,1 S. 70 (zitiert als P. Heid. III, Taf. 1); Grohmann, APEL II S. 38 A. 1; Abbott, KPOI S. 46; Jahn, Briefwesen S. 163f.; 169; Cadell, nouveaux fragments S. 158; Simonsen, taxation system S. 85; Grohmann, FWAP S. 124 - 126 xxx [so Grohmann, Papyruskunde S. 75 A. 1; Institut]; Bell, P. Lond. IV S. 22 xxx [so Cadell, nouveaux fragments S. 158]; Wilcken, Chrestomathie 284 xxx [so Cadell, nouveaux fragments S. 158 ]	1	2		Papyrus		rab–‘ I	 Jan. 	 Febr. 	1290 (Recto und Verso)	neu		1 a	Ermahnung zur Steuerablieferung		+ Arab. 2	Arab. 1 + Arab. 2 Recto	1	Arab.			Einige wenige diakritische Zeichen.	15. 10. 1975 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan-University  [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 1	Recto			710	Arabisch	Publiziert	7	5			CD_A_001		7. Jan. 	5. Febr. 	5. Febr. 	710	710	Vorhanden			22.10.2015		
	Becker, PSR I Tf. I rechts			PSR	2			Verso frei	Dokumentarisch	dokumentarisch							X		20,2			7. Jan. 710	5. Febr. 710	710; 7. Jan. 	710; 7. Jan. 	 7. Jan. 710 - 5. Febr. 710 	 710; 7. Jan.  - 5. Febr. 710 		27.12.1999					s. P. Heid. Inv. Arab. 1			1904		Geschenk Schott	x			43,5	s. P. Heid. Inv. Arab. 1	710	710		8			VIII		VIII	1	91	CD_A_001	CD_A_001	abgeschlossen		s. P. Heid. Inv. Arab. 1	1	2		Papyrus		Rab–‘ I	 Jan. 	 Febr. 	589 b 1	neu		1 b	Ermahnung zur Steuerablieferung		+ Arab. 1	Arab. 2 + Arab. 1 Recto	2	Arab.			s. P. Heid. Inv. Arab. 1	15. 10. 1975 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan-University  [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 1	Recto			710	Arabisch	Publiziert	7	5			CD_A_001		7. Jan. 	5. Febr. 	5. Febr. 	710	710	Vorhanden			17.12.2009		
	Becker, PSR I Tf. III links			PSR	3		Grohmann/Khoury, CPA 91	Tintenspuren	Dokumentarisch	dokumentarisch							X		21			2. Aug. 710	30. Aug. 710	710; 2. Aug. 	710; 2. Aug. 	 2. Aug. 710 - 30. Aug. 710 	 710; 2. Aug.  - 30. Aug. 710 		13.12.1999					Am Anfang fehlen die ersten zwei Zeilen. Der linke Rand ist teilweise sägezahnartig eingerissen, mehrere Löcher, beides führt zu Buchstabenverlust. Sonst ist das Stück sehr gut erhalten und vollständig. Das Stück war ursprünglich zu einer Papyrusrolle gerollt, nicht gefaltet. Schriftrichtung Recto quer zur Faserrichtung.			1904		Geschenk Schott	x			55,8	Der Absender, Qurra b. Šarīk erinnert den Adressaten, Basileios (Basīl), Vorsteher von Ašqaw [Aphrodito] (ṣāḥib Ašqawh) an einen früheren Brief des Absenders, die Sammlung des Getreides für den Staatsspeicher (ḥaml ṭa‘ām l-hury) und seine Messung (kaylihi) beschleunigt durchzuführen, keine einzige Artabe (irdabb) verzögert abzugeben. Der Absender habe schon befohlen, das Heer (al-ǧund) ihren Lebensunterhalt (bi-irzāqihim) zu geben. Die Ernte sei dieses Jahr gut, ein etwaiges Manko müsse also auf den [jeweiligen] Beamten (‘āmil) zurückgehen. Der Absender gibt genaue Anweisungen zur Steuereintreibung. Jedes Dorf soll aus seiner Mitte einen Steuereinnehmer (qabbāl Plural qabbālīn) wählen, der jeweils 5 Artaben von 100 Artaben als Lohn bekommt, eventuell fehlendes aber ausgleichen muss. Dieser Steuereintreiber liefert das Getreide (ṭa‘ām) an den [jeweiligen] Vorsteher des Staatsspeichers (ṣāḥib al-ahrā’, Plural aṣḥāb al-ahrā’) ab. Der Steuereinnehmer soll das Getreide mit dem rechtem Mass (al-kayl al-‘adl) messen, nicht mit dem dēmosion-Mass (kayl ad-dīmūs). Er soll dabei ein qanqal verwenden. Der Vorsteher des Staatsspeichers soll mit einem eigenen rechten qanqal (qanqal ‘adl) nachmessen. Der Absender ermahnt den Adressaten mehrmals, dafür zu sorgen, dass die Bauern nicht bedrückt werden. Wenn ein Steuereintreiber die Bauern bedrückt, solle ihm der Adressat 100 Peitschenhieben geben, Haupt- und Barthaar scheren, 30 dīnār Busse auferlegen und die zuviel eingetrieben Steuer abnehmen. Für dieses strenge Vorgehen sei der Adressat verantwortlich. Er möge seine Beamten (‘ammāl) von der Bedrückung des Landvolkes abhalten. Die Bauern sollen in die Staatsspeicher nur gutes Getreide (ṭa‘ām ṭayyib) abliefern, die Vorsteher der Staatsspeicher nur solches annehmen. Schreiber ist aṣ-Ṣalt.	710	710		8			VIII		VIII	1	91	CD_A_004	CD_A_004	abgeschlossen		Becker, PSR I S. 20; 24 - 28; 30-32; 34 - 37; 45; 66f. A. zu Zeile 39; 67 A. zu Zeile 43; 82 A. zu Zeile 4; 91 zu Zeile 6; Becker, PAF S. 93; van Berchem, page nouvelle S. 161; Grohmann, CPR III 1,1 S. 70 (zitiert als P. Heid. III, Taf. 3 - 5); Jahn, Briefwesen S. 163f.; Grohmann, Einführung S. 90; 160; Grohmann, Papyruskunde S. 99 ("P. Heid. III S. 31"); Hopkins, Early Arabic 39 A.7; 56; Diem, ABPP S. 44; Grohmann/Khoury, CPA S. 11 ("de telles lettres ... dont la plus longue a été ajoutée aussi à notre 'Chrestomathie' ")	8	8		Papyrus		˝aww$l	 Aug. 	 Aug. 	589 c 1 + 2; 590,1	neu		3 a	Ermahnung zur Getreidelieferung mit einzelnen Anweisungen		+ Arab. 4 + Arab. 5 + Arab. 6 + Arab. 7	Arab. 3 + Arab. 4 + Arab. 5 + Arab. 6 + Arab. 7 Recto	3	Arab.			Einzelne diakritische Punkte. Am Ende des Textes (P. Heid. Inv. Arab. 7) ein Siegel.Unter der letzten Zeile findet sich ein Siegel. 	7. 7. 1976 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 3	Recto			710	Arabisch	Publiziert	2	30			CD_A_004		2. Aug. 	30. Aug. 	30. Aug. 	710	710	Vorhanden			17.12.2009		
	Becker, PSR I Tf. III rechts			PSR	4			Verso frei	Dokumentarisch	dokumentarisch						s. Heid. Inv. Arab. 3	X		20,6			2. Aug. 710	30. Aug. 710	710; 2. Aug. 	710; 2. Aug. 	 2. Aug. 710 - 30. Aug. 710 	 710; 2. Aug.  - 30. Aug. 710 		13.12.1999					s. Heid. Inv. Arab. 3			1904		Geschenk Schott	x			54,9	s. Heid. Inv. Arab. 3	710	710		8			VIII		VIII	1	91	CD_A_004	CD_A_004	abgeschlossen		s. Heid. Inv. Arab. 3	8	8		Papyrus		˝aww$l	 Aug. 	 Aug. 	590,2; 591 a 1 + 2	neu		3 b	Ermahnung zur Getreidelieferung mit einzelnen Anweisungen		+ Arab. 3 + Arab. 5 + Arab. 6 + Arab. 7	Arab. 4 + Arab. 3 + Arab. 5 + Arab. 6 + Arab. 7 Recto	4	Arab.			s. Heid. Inv. Arab. 3	7. 7. 1976 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 3	Recto			710	Arabisch	Publiziert	2	30			CD_A_004		2. Aug. 	30. Aug. 	30. Aug. 	710	710	Vorhanden			17.12.2009		
	Becker, PSR I Tf. IV rechts			PSR	6			Verso frei	Dokumentarisch	dokumentarisch						s. Heid. Inv. Arab. 3	X		21			2. Aug. 710	30. Aug. 710	710; 2. Aug. 	710; 2. Aug. 	 2. Aug. 710 - 30. Aug. 710 	 710; 2. Aug.  - 30. Aug. 710 		13.12.1999					s. Heid. Inv. Arab. 3			1904		Geschenk Schott	x			29,6	s. Heid. Inv. Arab. 3	710	710		8			VIII		VIII	1	91	CD_A_004	CD_A_004	abgeschlossen		s. Heid. Inv. Arab. 3	8	8		Papyrus		˝aww$l	 Aug. 	 Aug. 	590,4	neu		3 d	Ermahnung zur Getreidelieferung mit einzelnen Anweisungen		+ Arab. 3 + Arab. 4 + Arab. 5 + Arab. 7	Arab. 6 + Arab. 3 + Arab. 4 + Arab. 5 + Arab. 7 Recto	6	Arab.			s. Heid. Inv. Arab. 3	7. 7. 1976 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 3	Recto			710	Arabisch	Publiziert	2	30			CD_A_004		2. Aug. 	30. Aug. 	30. Aug. 	710	710	Vorhanden			17.12.2009		
	Becker, PSR I Tf. IV links			PSR	5			Tintenspuren	Dokumentarisch	dokumentarisch						s. Heid. Inv. Arab. 3	X		20,5			2. Aug. 710	30. Aug. 710	710; 2. Aug. 	710; 2. Aug. 	 2. Aug. 710 - 30. Aug. 710 	 710; 2. Aug.  - 30. Aug. 710 		13.12.1999					s. Heid. Inv. Arab. 3			1904		Geschenk Schott	x			42,5	s. Heid. Inv. Arab. 3	710	710		8			VIII		VIII	1	91	CD_A_004	CD_A_004	abgeschlossen		s. Heid. Inv. Arab. 3	8	8		Papyrus		˝aww$l	 Aug. 	 Aug. 	1190,4	neu		3 c	Ermahnung zur Getreidelieferung mit einzelnen Anweisungen		+ Arab. 3 + Arab. 4 + Arab. 6 + Arab. 7	Arab. 7 + Arab. 3 + Arab. 4 + Arab. 6 + Arab. 7 Recto	7	Arab.			s. Heid. Inv. Arab. 3	7. 7. 1976 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 3	Recto			710	Arabisch	Publiziert	2	30			CD_A_004		2. Aug. 	30. Aug. 	30. Aug. 	710	710	Vorhanden			17.12.2009		
	Becker, PSR I Tf. V links			PSR	7			Verso frei vermutlich	Dokumentarisch	dokumentarisch						Das Stück liegt  auf einer weissen Unterlage, so daß Verso nicht sichtbar ist.Am unteren Rand befindet sich ein Siegel.	X		20,5			2. Aug. 710	30. Aug. 710	710; 2. Aug. 	710; 2. Aug. 	 2. Aug. 710 - 30. Aug. 710 	 710; 2. Aug.  - 30. Aug. 710 		13.12.1999					s. Heid. Inv. Arab. 3			1904		Geschenk Schott	x			51,6	s. Heid. Inv. Arab. 3	710	710		8			VIII		VIII	1	91	CD_A_004	CD_A_004	abgeschlossen		s. Heid. Inv. Arab. 3	8	8		Papyrus		˝aww$l	 Aug. 	 Aug. 	591 c 1 + 2; 592,1	neu		3 e	Ermahnung zur Getreidelieferung mit einzelnen Anweisungen		+ Arab. 3 + Arab. 4 + Arab. 5 + Arab. 6	Arab. 7 + Arab. 3 + Arab. 4 + Arab. 5 + Arab. 6 Recto	7	Arab.			s. Heid. Inv. Arab. 3. Das Stück hat am Ende des Textes ein Siegel.	7. 7. 1976 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 3	Recto			710	Arabisch	Publiziert	2	30			CD_A_004		2. Aug. 	30. Aug. 	30. Aug. 	710	710	Vorhanden			17.12.2009		
	Becker, PSR I Tf. II links (Recto)			PSR	8				Dokumentarisch	dokumentarisch						Die beiden Stücke von P. Heid. Inv. 8 sind 12.5 und 33.0 cm hoch. Wieviel zwischen ihnen fehlt, ist nicht genau zu bestimmen, geht man von regelmässigem Zeilenabstand aus, kommt man auf eine Höhe beider Stücke von mindestens 46.5 cm. Wir haben damit eine Gesamthöhe des Papyrus von mindestens 97.0 cm. Becker, PSR I S. 102 vermutet, dass P. Heid. Inv. Arab. 8 und P. Heid. Inv. Arab. 10i eventuell zusammengehören.	X		20,4			7. Jan. 710	5. Febr. 710	710; 7. Jan. 	710; 7. Jan. 	 7. Jan. 710 - 5. Febr. 710 (Einerzahl des Hiǧra-Jahres ergänzt)	 710; 7. Jan.  - 5. Febr. 710 (Einerzahl des Hiǧra-Jahres ergänzt)		13.12.1999					Becker hat P. Heid. Inv. 8 aus sehr vielen Stücken zu zwei Stücken mit lacuna unbekannter Länge, P. Heid. Inv. 9 zu einem Stück zusammengesetzt; Anfang und Schluss des Schreibens sind erhalten, zusätzlich zu lacuna zwischen den beiden Stücken bleiben mehrere Löcher. Das Stück war ursprünglich zu einer Papyrusrolle gerollt, nicht gefaltet. Schriftrichtung Recto quer zur Faserrichtung. Beim Übergang von Recto zur Adresse auf Verso hat der Schreiber das Stück in der Querrichtung gedreht, sodass der Anfang von Recto dem Anfang der Adresse auf Verso entspricht.			1904		Geschenk Schott	x			46,6	Auf Recto gibt Qurra b. Šarīk dem Basileios (Basīl), Vorsteher von Ašqaw [Aphrodito] (ṣāḥib Ašqawh) Anweisungen in Bezug auf die Händler (tāǧir pl. tuǧǧār), die ihr Getreide (ṭa‘ām pl. aṭ‘ima) nicht verkaufen. Der Adressat solle den Händlern, die in seinem Gebiet Getreide aufkaufen und sammeln, befehlen es zu verkaufen. Dabei solle er jedem Händler befehlen, die eine Hälfte seiner Vorräte in al-Fusṭāṭ zu verkaufen, dort sei Getreide leicht verkaeuflich. Der Adressat solle dem Absender über jeden Händler schreiben, der so nach al-Fusṭāṭ komme. Der Absender habe seinerseits den Beamten für den Zoll (ṣāḥib al-maks) schon angewiesen, von diesen Getreidetransporten Kenntnis zu nehmen. Die andere Hälfte sollten die Händler auf dem Land zuerst den Bauern anbieten, sonst ebenfalls nach al-Fusṭāṭ bringen. Der Adressat möge einen Verantwortlichen einsetzen. Auch der Absender habe alle Beamten (‘ummāl) dementsprechend angewiesen. Schreiber ist ‘Abd Allāh b. Nu‘mān. Auf Verso findet sich auf arabisch die Adresse und eine kurze Inhaltsangabe, auf griechisch wohl ein Registervermerk.	710	710		8			VIII		VIII	1	91	CD_A_002; CD_A_004	CD_A_002; CD_A_004	abgeschlossen		Becker, PSR I S. 20; 24f.; 28; 30; 31 A. 2; 34 - 36; 43; 51-56; 99; van Berchem, nouvelle page S. 164; Grohmann, CPR III 1,1 S. 70 (zitiert als P. Heid. III, Taf. 2); Jahn, Briefwesen S. 163f.; Grohmann, Einführung S. 90; 121; Hopkins, Early Arabic 39 A. 9; Simonsen, taxation system S. 107 (ohne Angabe der Inventarnr.); Diem, ABPP S. 43	1	2		Papyrus		Rab–‘ I	 Jan. 	 Febr. 	592,2; 593 a 1+ 2; b 1 (Recto und Verso)	neu		2 a	Anweisungen in Bezug auf die Getreidehändler		+ Arab. 9	Arab. 8 + Arab. 9 Recto u. Verso	8	Arab.			Einige diakritische Punkte. 	7. 7. 1976 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 2	Recto u. Verso			710	Arabisch, Griechisch	Publiziert	7	5			CD_A_002; CD_A_004		7. Jan. 	5. Febr. 	5. Febr. 	710	710	Vorhanden			17.12.2009		(Einerzahl des Hiǧra-Jahres ergänzt)
	Becker, PSR I Tf. II rechts			PSR	9			Verso frei	Dokumentarisch	dokumentarisch						s. P. Heid. Inv. Arab. 8	X		20,5			7. Jan. 710	5. Febr. 710	710; 7. Jan. 	710; 7. Jan. 	 7. Jan. 710 - 5. Febr. 710 (Einerzahl des Hiǧra-Jahres ergänzt)	 710; 7. Jan.  - 5. Febr. 710 (Einerzahl des Hiǧra-Jahres ergänzt)		13.12.1999								1904		Geschenk Schott	x			50,5	s. P. Heid. Inv. Arab. 8	710	710		8			VIII		VIII	1	91	CD_A_008	CD_A_008	abgeschlossen		s. P. Heid. Inv. Arab. 8	1	2		Papyrus		rab–‘ I	 Jan. 	 Febr. 	592,3 + 4; 593 c 1+ 2	neu		2 b	Anweisungen in Bezug auf die Getreidehändler		+ Arab. 8	Arab. 9 + Arab. 8 Recto	9	Arab.				7. 7. 1976 Dr. Bakhit, Amman4. 4. - 16. 5. 1979 Faleh Hussein, Jordan University [Amman]1. 8. 1980 Prof. Khoury, Heidelberg			Becker, PSR I	Becker, PSR I 2	Recto			710	Arabisch	Publiziert	7	5			CD_A_008		7. Jan. 	5. Febr. 	5. Febr. 	710	710	Vorhanden			17.12.2009		(Einerzahl des Hiǧra-Jahres ergänzt)
	Becker, PSR I Tf. IX.2	594 a 1 + 2	a	PSR	10		Becker, PSR I 12a; Becker, PAF 14a		Dokumentarisch	dokumentarisch						Becker, PSR I S. 96f. vermutet, dass P. Heid. Inv. Arab. 10a und P. Heid. Inv. Arab. 10b zum selben Schreiben gehören; dies wird von Grohmann, APEL III S. 23 bestritten. Becker, NPAF S. 257 verbindet die beiden Stücke mit Moritz, Arabic palaeography 105; dies wird von Grohmann, APEL III S. 23; Grohmann, Einführung S. 47 A.1; Grohmann, Papyruskunde S. 75 A. 1 bestritten.	X		15,5			709	714	709	709	 709 - 714 (Qurra b. Šarīk als Statthalter und Finanzlandesdirektor)	 709 - 714 (Qurra b. Šarīk als Statthalter und Finanzlandesdirektor)		15.02.2000					Fragment eines Briefanfangs. Schriftrichtung quer zur Faserrichtung.			1904		Geschenk Schott	x			6,4	Auf Recto der Anfang eines Briefes von Qurra b. Šarīk an den Vorsteher von Aphrodito (ṣāḥib Ašqawh), vermutlich Basileios / Basīl. Auf Verso die Adresse und die kurze Inhaltsangabe, dass es sich um die landflüchtigen Kolonen (ǧāliya) des Hišām b. ‘Umar handelt, und Spuren eines griechischen Registervermerks.	709	714	96	8			VIII		VIII	1	90	CD_A_002; CD_A_003	CD_A_002; CD_A_003	abgeschlossen		Becker, PSR I S. 25; 40; 62 A. zu Zeile 3*; 100; van Berchem, page nouvelle S. 167f.; Jahn, Briefwesen S. 163f.; Grohmann, APEL III S. 23; Dietrich, Drogenhandel S. 1 A. 2; Grohmann, Einführung S. 47 A.1; 121; Grohmann, Papyruskunde S. 75 A. 1; Cadell, nouveaux fragments S. 118; Diem, Aphrodito-Papyri S. 265				Papyrus					951 d 3 + 4 (Recto und Verso)	neu		5a	Anfang eines Briefes			Arab. 10a Recto u. Verso	10	Arab.	a		Einige diakritische Zeichen.	15. 10 1975 Dr. Bakhit, Amman1. 8. 1980 Prof. Khoury, Heidelberg			Becker, NPAF 	Becker, NPAF  5	Recto u. Verso			714	Arabisch	Publiziert					CD_A_002; CD_A_003					709	714	Vorhanden			17.12.2009		(Qurra b. Šarīk als Statthalter und Finanzlandesdirektor)
