name,type,arab,cop,dem,gr,hebr,ostr,syr usw.,to delete,tf_arab,,tf_cop,,tf_dem,,tf_gr,,tf_hebr,,tf_ostr,,"tf_syr,pah,lat,hier,aram",,label,type,length,length,original length,
a,,a,a,a,a,a,a,a,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Abbildung,string,Abbildung,Abbildung,Abbildung,Abbildung,Abbildung,Abbildung,Abbildung,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Abbildung,string,512,512,abbildung,176
alte Aufnahme,string,alte Aufnahme,alte Aufnahme,alte Aufnahme,alte Aufnahme,alte Aufnahme,alte Aufnahme,alte Aufnahme,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,alte Aufnahme,string,512,512,alte_aufnahme,99
alte Inv. Nr. Buchstabe,string,alte Inv. Nr. Buchstabe,alte Inv. Nr. Buchstabe,alte Inv. Nr. Buchstabe,alte Inv. Nr. Buchstabe,alte Inv. Nr. Buchstabe,alte Inv. Nr. Buchstabe,alte Inv. Nr. Buchstabe,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,alte Inv. Nr. Buchstabe,string,64,64,alte_inv_nr_buchstabe,19
alte Inv. Nr. Name,string,alte Inv. Nr. Name,alte Inv. Nr. Name,alte Inv. Nr. Name,alte Inv. Nr. Name,alte Inv. Nr. Name,alte Inv. Nr. Name,alte Inv. Nr. Name,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,alte Inv. Nr. Name,string,64,64,alte_inv_nr_name,18
alte Inv. Nr. Zahl,string,alte Inv. Nr. Zahl,alte Inv. Nr. Zahl,alte Inv. Nr. Zahl,alte Inv. Nr. Zahl,alte Inv. Nr. Zahl,alte Inv. Nr. Zahl,alte Inv. Nr. Zahl,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,alte Inv. Nr. Zahl,string,256,256,alte_inv_nr_zahl,58
Andere Berichtigungen,string,Andere Berichtigungen,Andere Berichtigungen,Andere Berichtigungen,Andere Berichtigungen,,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,Andere Berichtigungen,string,512,512,andere_berichtigungen,143
Andere Publikation,string,Andere Publikation,Andere Publikation,Andere Publikation,Andere Publikation,Andere Publikation,Andere Publikation,Andere Publikation,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Andere Publikation,string,,1024,andere_publikation,301
andere Seite,string,andere Seite,andere Seite,andere Seite,andere Seite,andere Seite,andere Seite,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,andere Seite,string,128,128,andere_seite,28
Art,string,Art,Art,Art,Art,,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,Art,string,128,128,art,32
Art 1,string,Art 1,Art 1,Art 1,Art 1,Art 1,Art 1,Art 1,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Art 1,string,64,64,art_1,16
Art 2,string,Art 2,Art 2,Art 2,Art 2,Art 2,Art 2,Art 2,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Art 2,string,256,256,art_2,81
