"\N","\N","1271 a 1","\N","\N","41","\N","\N","              ","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","Verso: Adresse","T","\N","|31,5|","\N","1997-06-05","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|10,5|","Brief. Bei voller Erhaltung des Formats Zusammenhang durch viele Löcher zerstört. Die Adressaten haben Beschämung am Ort der ⲁⲡⲏⲩⲉ und des Archon erfahren (Ein Ausdruck für Vorwürfe?). Die Absender haben vor, Schmun zu verlassen. Der Adressat (nun Singular) scheint vermögend zu sein, Aufzählung (?) seiner Güter. Am Schluß: 'ich werde dir deinen Rest geben'.","\N","\N","\N","7","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","527 a 1+2: 5 x 7","T","\N","\N","\N","Brief","\N","\N","1","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto u. Verso","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","\N","\N","46","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|16,5|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|24,0|","Sechs analoge Abschnitte mit Zahlen; am Anfang und am Ende jedes Abschnittes koptische Zeichen.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 527 b 1","T","\N","\N","\N","Liste?","\N","\N","2","Kopt.","\N","\N","\N","9.12.1957 O. Neugebauer
30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","55","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|13,5|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|19,0|","Brief. Die Absenderin, mit Namen Opheli (?), empfiehlt sich und ihren Bruder, der ebenfalls Opheli heißt (?), der Gunst des Adressaten, nach dessen Wohnsitz der Bruder eine Reise unternehmen wird.","\N","\N","\N","4","5","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 527 b 2","T","\N","\N","\N","Brief","\N","\N","3","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","\N","\N","62","\N","\N","              ","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","Verso: Adresse.","T","\N","|31,0|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|11,5|","Brief. Jesaias schreibt an 'unseren Herrn, den comes', und bittet um Entsendung von Männern und Handwerkern zur Reparatur einer Zisterne. Dabei beschreibt er die an dieser bereits vorgenommenen Arbeiten.","\N","\N","\N","5","6","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 527 c 1+2","T","\N","\N","\N","Brief","\N","\N","4","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto u. Verso","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","\N","\N","63","\N","\N","Rückseite frei","Literarisch","literarisch","Bibel, Neues Testament 1. Korintherbrief","\N","T","\N","\N","\N","T","\N","|30,0|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|17,0|","1 Kor 2,9","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 528 a 1+2","T","\N","\N","\N","Biblischer Text","\N","\N","5","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf
30.11.1982 T. Orlandi, Rom","\N","\N","\N","\N","Vorderseite","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","1271 a 2; b 1+2","\N","\N","73","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|6,5|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|30,0|","Liste von Ortsbezeichnungen (?), griechisch mit koptischen Namen, dann Summen in Nomismata.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 529 a 1+2: b 1+2","T","\N","\N","\N","Liste","\N","\N","6","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","1271 a 2; b 1+2","\N","\N","73","\N","\N","s. eigenen Datensatz","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|6,5|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|30,0|","Liste von Ortsbezeichnungen (?), griechisch mit koptischen Namen, dann Summen in Nomismata.","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 529 a 1+2: b 1+2","T","\N","\N","\N","Liste","\N","\N","6","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Verso","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","a","\N","75","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|10,0|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|33,0|","Liste von Geräten (Sessel, Maß, Dreifuß u.ä.)","\N","\N","\N","7","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 528 b 1","T","\N","\N","\N","Liste","\N","\N","7","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1271 c 1+2; d 1","\N","\N","77","\N","\N","Verso frei","Dokumentarisch","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|18,0|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","1897","\N","Reinhardt","\N","\N","\N","\N","|30,5|","Brief. An 'meinen kleinen Sohn, seine Mutter, alle ihre (Pl.) Brüder und unsere Leute'. Dann wird durchgehend eine Dame (die Mutter?) angeredet. Durch Dorothe, den Schiffer, wurden ihr zwei Trimesion für Weizen übersandt, ein weiteres soll folgen. Ein Besuch wird versprochen. Bitte um einen Brief. Die Adressatin möge aus Wolle einen Mantel, aus Werg ein gutes Kleid weben und übersenden zum Verkauf.","\N","\N","\N","8","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 528 c 1+2","T","\N","\N","\N","Brief","\N","\N","8","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
"\N","\N","\N","c","\N","88","\N","\N","Verso frei","?","dokumentarisch","\N","\N","T","\N","\N","\N","T","\N","|8,0|","\N","1997-06-28","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|13,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","5 x 7 = 528 b 2","T","\N","\N","\N","Fragment unbekannten Inhalts","\N","\N","9","Kopt.","\N","\N","\N","30.3.1976 W. Vycichl, Genf","\N","\N","\N","\N","Recto","\N","\N","Koptisch","Unpubliziert","\N","\N","\N","\N","\N","\N","\N","\N","\N","2012-02-19","\N","\N","\N"
