"\N","\N","Glasplatte VB 250","\N","\N","898","\N","\N","s. eigenen Datensatz","\N","dokumentarisch","\N","\N","T","\N","\N","arabischer Brief in hebräischer Schrift, 12 Zeilen, links unvollständig, darüber arabische Wörter und griechische Zahlbuchstaben; unveröffentlicht","\N","\N","|11,5|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|12,0|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","KB 671 a 1-3; 1107 e 3-6 + f 1+2","T","\N","\N","\N","\N","\N","\N","1","Hebr. (arab)","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 a 1","\N","\N","899","\N","\N","s. eigenen Datensatz","\N","literarisch","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","|18,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|11,0|","Sechs Zeilen in klarer, teilweise punktierter hebräischer Schrift; darunter arabische Sentenzen, auf den Rändern arabische Schreibübungen.","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","KB; 671 a 71-73; 1107 g 1-4 e","T","\N","\N","\N","\N","\N","\N","2","Hebr. (arab)","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 a 2","\N","\N","900","\N","\N","Rückseite frei","\N","\N","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","|10,5|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|7,5|","unpunktierte, große Buchstaben, vielleicht Schreibübung?","\N","\N","\N","9","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","KB; 671 b 67-69","T","\N","\N","\N","\N","\N","\N","3","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
4.5.81 G. Sirat, Paris
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","Colette Sirat, Les papyrus en caractères hebraiques trouvés en Egypte, S. 113 Abb. 53.","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","11268 b 1","\N","\N","901","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","mit P.Heid. Inv. Hebr. 6 zusammengesetzt","\N","\N","|15,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|11,8|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Pergament","\N","\N","673 a 1+2; 1107 g 5+6; 1108 a 1+2","T","\N","\N","\N","\N","\N","\N","4","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg
26.4.83 Dr. Quasman, Jüdische Hochschule Heidelberg","Christa Schüßler, Und die Heiligen singen in Zion, Magisterarbeit, Hochschule für jüdische Studien Heidelberg 1996.","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 b 2; c1","\N","\N","902","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","mit P.Heid. Inv. Hebr. 30 zusammengesetzt, 9/88 Zachmann; unveröffentlicht","\N","\N","|11,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|13,0|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Pergament","\N","\N","673 b 1+2; 879 b 1-4; 1108 a 3-6; (5+30) Bl. 879 b 1-4","T","\N","\N","\N","\N","\N","\N","5","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 c 1","\N","\N","903","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","mit P.Heid. Inv. Hebr. 4 zusammengesetzt 4/83","\N","\N","|5,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","1897","\N","\N","\N","\N","\N","\N","|13,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Pergament","\N","\N","673 a 1+2; 879 b 1-4; 1107 g 5+6; 1108 a 1+2","T","\N","\N","\N","\N","\N","\N","6","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg
26.4.83 Dr. Quasman, Jüdische Hochschule Heidelberg","Christa Schüßler, Und die Heiligen singen in Zion, Magisterarbeit, Hochschule für jüdische Studien Heidelberg 1996.","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 c 2","\N","\N","904","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","\N","\N","\N","|3,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|3,7|","\N","\N","\N","\N","9","10","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Papyrus","\N","\N","671 b 51-53; 1108 b 1-4","T","\N","\N","\N","\N","\N","\N","7","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
6.10.80 Prof. Hopkins, Kapstadt
4.5.81 C. Sirat, Paris
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","J. Blau - S. Hopkins, Judaeo-Arabic Papyri, JSAI (Jerusalem Studies in Arabic and Islam) 9 (1987) 87-160, v.a. 121 (Kopie in Hängemappe); Colette Sirat, Les Papyrus en caractères Hébraeiques trouvés en Egypte (1985) 114 Abb. S. 53.","\N","\N","\N","verso","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 d 1","\N","\N","905","\N","\N","s. eigenen Datensatz","\N","\N","\N","\N","T","\N","\N","unveröffentlicht","\N","\N","|4,5|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|5,5|","\N","\N","\N","\N","12","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Pergament","\N","\N","671 c 47-49; 1108 b 5+6, c 1+2","T","\N","\N","\N","\N","\N","\N","8","Hebr.","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Vorderseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","Glasplatte VB 250","\N","\N","898","\N","\N","s. eigenen Datensatz","\N","dokumentarisch","\N","\N","T","\N","\N","arabisch; unveröffentlicht","\N","\N","|11,5|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|12,0|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","KB 671 a 1-3; 1107 e 3-6 + f 1+2","T","\N","\N","\N","\N","\N","\N","1","Hebr. (arab)","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Rückseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","1268 a 1","\N","\N","899","\N","\N","s. eigenen Datensatz","\N","dokumentarisch","\N","\N","T","\N","\N","arabisch; unveröffentlicht","\N","\N","|18,0|","\N","1997-06-14","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|11,0|","\N","\N","\N","\N","11","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Hadernpapier","\N","\N","KB; 671 a 71-73; 1107 g 1-4 e","T","\N","\N","\N","\N","\N","\N","2","Hebr. (arab)","\N","\N","\N","28.2.75 Jewish National University, Jerusalem
25.7.77 Prof. M.M. Sprecher, Heidelberg
1.8.80 Prof. Klein-Franke, Jerusalem
27.7.82 Prof. Talmon, Jüdische Hochschule Heidelberg","\N","\N","\N","\N","Rückseite","\N","\N",Hebräisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
