"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|10,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|14,4|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 d 1+3","T","\N","\N","G","\N","\N","\N","1","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|6,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|6,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 d 5+7","T","\N","\N","G","\N","\N","\N","2","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|7,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|11,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 d 9+11","T","\N","\N","G","\N","\N","\N","3","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","zwei Wände eines Kruges, 20 cm Durchmesser; in Schrank 3; unveröffentlicht.","\N","\N","|11,5|","zusammengesetzt mit 228, 339, 613, 695, 720","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|18,9|","Namen","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","751 a 16, b 1-4","T","\N","\N","G","\N","\N","\N","4","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","||","fehlt oder freie Nummer","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","||","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","\N","T","\N","\N","G","\N","\N","\N","5","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|6,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|8,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 e 13+15","T","\N","\N","G","\N","\N","\N","6","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|6,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 e 17+19; 210 c 87-3","T","\N","\N","G","\N","\N","\N","7","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|6,5|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|5,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 e 21+23","T","\N","\N","G","\N","\N","\N","8","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|9,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,5|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 f 25+27","T","\N","\N","G","\N","\N","\N","9","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","dokumentarisch","\N","\N","F","\N","\N","unveröffentlicht","\N","\N","|8,0|","\N","1998-10-30","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","|7,0|","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","Ostrakon","\N","\N","209 f 29+31","T","\N","\N","G","\N","\N","\N","10","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N",Griechisch,"\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
